Year,Co2 ppm,Methane,Temperature
1900,296.7,862.4,15.2844545454545
1901,295,864,15.27
1902,295,866,15.26
1903,294.8,868.4,15.2272727272727
1904,296,867,15.1145454545455
1905,297.55,888.0333333,14.9849090909091
1906,298,892,14.9356363636364
1907,298,895,15.0914545454545
1908,298,912,15.1675454545455
1909,299.2,921.6,15.0248181818182
1910,299.9,929.9,14.9880909090909
1911,300,932,14.9333636363636
1912,300,951,14.983
1913,300.5,969,14.8988181818182
1914,300.5,982,15.0269090909091
1915,301,990.05,15.0255454545455
1916,301,991,15.2107272727273
1917,302,993,15.2897272727273
1918,302,995,15.0736363636364
1919,302.5,998,14.9653636363636
1920,303.2,997,15.0980909090909
1921,301.6,1006.4,15.1652727272727
1922,302,1010,15.1821818181818
1923,303,1016,15.2361818181818
1924,304,120,15.1495454545455
1925,304.9,1023.2,15.145
1926,305.2,1034,15.1936363636364
1927,305.5,1045.2,15.1988181818182
1928,306,1051,15.3959090909091
1929,306,954,15.2703636363636
1930,306.5,907,15.2744545454545
1931,307,989,15.1274545454545
1932,307,994,15.3041818181818
1933,307,1023,15.3661818181818
1934,307,1039,15.3361818181818
1935,307.3,1053,15.1639090909091
1936,307.8,1059,15.2782727272727
1937,308.2,1053,15.2614545454545
1938,308.8,1060,15.2933636363636
1939,309,1061,15.4474545454545
1940,309.3,1059.9,15.451
1941,308.5,1061,15.4128181818182
1942,308.5,1057,15.5004545454545
1943,307.9,1058.95,15.5131818181818
1944,309,1065,15.4574545454545
1945,310.5,1069.1,15.4711818181818
1946,310.8,1070,15.602
1947,311,1073,15.4866363636364
1948,311.4,1075,15.4204545454545
1949,311.8,1079,15.4572727272727
1950,312,1082.5,15.4176363636364
1951,312.2,1081,15.3672727272727
1952,312.4,1080,15.2807272727273
1953,312.7,1081.8,15.4308181818182
1954,313.4,1091,15.5063636363636
1955,314.1,1103.3,15.5628181818182
1956,314.6,1139,15.377
1957,315,1147,15.3245454545455
1958,315.5,1162,15.2334545454545
1959,315.97,1173.3,15.5016363636364
1960,316.905,1182.95,15.5232727272727
1961,317.64,1218.5,15.4839090909091
1962,318.45,1222.4,15.4159090909091
1963,318.99,1245.2,15.5342727272727
1964,319.62,1260.3,15.4664545454545
1965,320.27,1261.3,15.5184545454545
1966,321.38,1284.033333,15.2620909090909
1967,322.16,1295.2,15.3249090909091
1968,323.04,1323.2,15.4084545454545
1969,324.62,1341.1,15.4363636363636
1970,325.19,1351.7,15.3978181818182
1971,326.32,1357.2,15.5175454545455
1972,327.45,1380.1,15.4804545454545
1973,329.68,1385.8,15.34
1974,331.97091665,1421.5,15.4149090909091
1975,331.3638889,1420.4,15.5587272727273
1976,331.657083325,1436.2,15.3055454545455
1977,333.18634585,1458.1,15.3915454545455
1978,335.1766414,1479.5,15.2483636363636
1979,336.995808066667,1485.2,15.5598181818182
1980,338.422916675,1503.1,15.438
1981,339.884583325,1557.8,15.5261818181818
1982,341.11375,1603.2,15.6372727272727
1983,342.5096591,1630.7,15.6450909090909
1984,344.20916665,1655.843333,15.4577272727273
1985,345.42625,1637.49625,15.6688181818182
1986,346.881875,1650.3641665,15.5023636363636
1987,348.4675,1662.3954165,15.48
1988,350.96625,1672.375,15.5275454545455
1989,352.596875025,1686.675833,15.6512727272727
1990,353.77095835,1697.9808335,15.7041818181818
1991,355.098958325,1706.689583,15.5673636363636
1992,355.529,1716.14,15.7683636363636
1993,356.960833342857,1741.16861133333,15.7450909090909
1994,358.446309514286,1749.596389,15.594
1995,360.450833328571,1753.6725,15.6084545454545
1996,362.007857157143,1756.81666666667,15.6712727272727
1997,363.192976185714,1762.79611133333,15.7911818181818
1998,365.803452371429,1770.53527766667,15.6584545454545
1999,367.8977381,1777.128611,15.8431818181818
2000,369.159404757143,1776.83083333333,15.9725454545455
2001,370.26569445,1778.78194433333,15.734
2002,372.165441916667,1755.462083,15.76
2003,374.59833334,1760.60875,15.9062727272727
2004,376.35483334,1759.310833,15.9839090909091
2005,378.44883332,1758.122083,15.953
2006,380.49083334,1756.034167,15.9023636363636
2007,382.87375,1763.7425,16.0203636363636
2008,384.890625,1769.1954165,15.9413636363636
2009,386.34416665,1775.7083335,15.9834545454545
2010,388.56964015,1782.753333,15.864
2011,390.577083325,1787.1395835,15.9661818181818
2012,392.596875,1791.995417,16.0571818181818
2013,395.39083335,1798.3358335,15.9123636363636
2014,397.355416675,1808.4275,15.9536363636364
2015,400.83,1819.1575,15.9921818181818
